Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action
T,AT&T Inc,Telecommunication Services,35.57,12.14,42.7,32.55,37.625,9.28%,Above 52 Week Low,BEST,BUY
TAP,Molson Coors Brewing Company,Consumer Staples,74.51,17.66,102.14,75.79,88.965,-1.69%,Below 52 Week Low,CAUTION,HOLD
TDG,TransDigm Group,Industrials,283,23.76,321.38,203.72,262.55,11.94%,Below 52 Week High ,BETTER,SELL
TEL,TE Connectivity Ltd.,Information Technology,95.27,19.72,108.23,71.93,90.08,11.97%,Below 52 Week High ,BETTER,HOLD
TGT,Target Corp.,Consumer Discretionary,71.11,14.19,78.7,48.56,63.63,9.64%,Below 52 Week High ,BETTER,BUY
TIF,Tiffany & Co.,Consumer Discretionary,99.62,27,111.44,77.93,94.685,10.61%,Below 52 Week High ,BETTER,SELL
TJX,TJX Companies Inc.,Consumer Discretionary,74.36,21.01,81.46,66.44,73.95,8.72%,Below 52 Week High ,BETTER,SELL
TMK,Torchmark Corp.,Financials,80.52,17.02,93.595,73.53,83.5625,9.51%,Above 52 Week Low,BEST,HOLD
TMO,Thermo Fisher Scientific,Health Care,198.73,21.84,226.44,151.69,189.065,12.24%,Below 52 Week High ,BETTER,SELL
TPR,"Tapestry, Inc.",Consumer Discretionary,48.85,,50.71,36.69,43.7,3.67%,Below 52 Week High ,BETTER,LOOK
TRIP,TripAdvisor,Consumer Discretionary,40.05,58.04,53.29,29.5,41.395,35.76%,Above 52 Week Low,GOOD,SELL
TROW,T. Rowe Price Group,Financials,101.99,19.92,120.07,66.7,93.385,15.06%,Below 52 Week High ,BETTER,HOLD
TRV,The Travelers Companies Inc.,Financials,135.01,16.48,150.55,113.76,132.155,10.32%,Below 52 Week High ,BETTER,HOLD
TSCO,Tractor Supply Company,Consumer Discretionary,65.94,19.57,82.68,49.87,66.275,32.22%,Above 52 Week Low,GOOD,HOLD
TSN,Tyson Foods,Consumer Staples,73.92,13.92,84.65,57.2,70.925,12.68%,Below 52 Week High ,BETTER,BUY
TSS,Total System Services,Information Technology,81.17,25.85,89.92,50.96,70.44,9.73%,Below 52 Week High ,BETTER,SELL
TWX,Time Warner Inc.,Consumer Discretionary,93.02,15.35,103.9,85.88,94.89,8.31%,Above 52 Week Low,BEST,HOLD
TXN,Texas Instruments,Information Technology,97.66,24.05,120.75,74.52,97.635,19.12%,Below 52 Week High ,BETTER,SELL
TXT,Textron Inc.,Industrials,55.54,22.13,62.19,45,53.595,10.69%,Below 52 Week High ,BETTER,SELL
UA,Under Armour Class C,Consumer Discretionary,11.95,29.15,21.805,10.36,16.0825,15.35%,Above 52 Week Low,BEST,SELL
UAA,Under Armour Class A,Consumer Discretionary,13.14,32.05,23.46,11.4,17.43,15.26%,Above 52 Week Low,BEST,SELL
UAL,United Continental Holdings,Industrials,63.37,8.85,83.04,56.51,69.775,12.14%,Above 52 Week Low,BEST,BUY
UDR,UDR Inc,Real Estate,32.92,17.79,40.71,33.31,37.01,-1.17%,Below 52 Week Low,CAUTION,HOLD
UHS,"Universal Health Services, Inc.",Health Care,114.87,15.36,129.74,95.26,112.5,11.46%,Below 52 Week High ,BETTER,HOLD
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,209.09,32.07,314.86,187.96,251.41,11.24%,Above 52 Week Low,BEST,SELL
UNH,United Health Group Inc.,Health Care,216.46,21.47,250.79,156.49,203.64,13.69%,Below 52 Week High ,BETTER,SELL
UNM,Unum Group,Financials,47.87,11.51,58.73,43.55,51.14,9.92%,Above 52 Week Low,BEST,BUY
UNP,Union Pacific,Industrials,124.86,22.06,143.05,101.06,122.055,12.72%,Below 52 Week High ,BETTER,SELL
UPS,United Parcel Service,Industrials,109.28,18.27,135.53,102.12,118.825,7.01%,Above 52 Week Low,BEST,HOLD
URI,"United Rentals, Inc.",Industrials,161.99,16.33,189,100.621,144.8105,14.29%,Below 52 Week High ,BETTER,HOLD
USB,U.S. Bancorp,Financials,52.65,15.35,58.5,49.535,54.0175,6.29%,Above 52 Week Low,BEST,HOLD
UTX,United Technologies,Industrials,127.48,19.26,139.24,107.05,123.145,8.45%,Below 52 Week High ,BETTER,HOLD
V,Visa Inc.,Information Technology,113.86,32.72,126.88,84.88,105.88,10.26%,Below 52 Week High ,BETTER,SELL
VAR,Varian Medical Systems,Health Care,112.82,29.93,130.29,77.73,104.01,13.41%,Below 52 Week High ,BETTER,SELL
VFC,V.F. Corp.,Consumer Discretionary,78.75,25.9,82.95,48.05,65.5,5.06%,Below 52 Week High ,BETTER,SELL
VIAB,Viacom Inc.,Consumer Discretionary,32.71,8.68,46.72,22.13,34.425,47.81%,Above 52 Week Low,CAUTION,BUY
VLO,Valero Energy,Energy,86.77,18.74,99.95,60.69,80.32,13.19%,Below 52 Week High ,BETTER,HOLD
VMC,Vulcan Materials,Materials,121.47,40.9,141.2,108.95,125.075,11.49%,Above 52 Week Low,BEST,SELL
VNO,Vornado Realty Trust,Real Estate,66.18,16.22,111.72,66.0101,88.86505,0.26%,Above 52 Week Low,BETTER,HOLD
VRSK,Verisk Analytics,Industrials,92.28,28.84,100.54,75.6,88.07,8.22%,Below 52 Week High ,BETTER,SELL
VRSN,Verisign Inc.,Information Technology,105.62,29.5,118.28,81.17,99.725,10.70%,Below 52 Week High ,BETTER,SELL
VRTX,Vertex Pharmaceuticals Inc,Health Care,151.6,252.67,174.955,84.39,129.6725,13.35%,Below 52 Week High ,BETTER,SELL
VTR,Ventas Inc,Real Estate,50.92,12.21,72.36,51.8,62.08,-1.70%,Below 52 Week Low,CAUTION,BUY
VZ,Verizon Communications,Telecommunication Services,49.04,13.08,54.77,42.8,48.785,10.46%,Below 52 Week High ,BETTER,BUY
WAT,Waters Corporation,Health Care,191.79,26.64,220.2,145.94,183.07,12.90%,Below 52 Week High ,BETTER,SELL
WBA,Walgreens Boots Alliance,Consumer Staples,68.22,13.38,88,63.82,75.91,6.89%,Above 52 Week Low,BEST,BUY
WDC,Western Digital,Information Technology,80.09,10.19,95.77,71.38,83.575,12.20%,Above 52 Week Low,BEST,BUY
WEC,Wec Energy Group Inc,Utilities,59.5,19.57,70.09,56.63,63.36,5.07%,Above 52 Week Low,BEST,HOLD
WFC,Wells Fargo,Financials,55.4,13.58,66.31,49.27,57.79,12.44%,Above 52 Week Low,BEST,BUY
WHR,Whirlpool Corp.,Consumer Discretionary,164.95,11.77,202.99,158.8,180.895,3.87%,Above 52 Week Low,BEST,BUY
WLTW,Willis Towers Watson,Financials,152.36,18.67,165,120.869,142.9345,7.66%,Below 52 Week High ,BETTER,HOLD
WM,Waste Management Inc.,Industrials,79.12,25.36,89.73,69.55,79.64,13.76%,Above 52 Week Low,BEST,SELL
WMB,Williams Cos.,Energy,28.56,48.41,33.67,26.8188,30.2444,6.49%,Above 52 Week Low,BEST,SELL
WMT,Wal-Mart Stores,Consumer Staples,100.02,23.1,109.98,66.89,88.435,9.06%,Below 52 Week High ,BETTER,SELL
WRK,WestRock Company,Materials,60.93,23.26,71.55,49.23,60.39,14.84%,Below 52 Week High ,BETTER,SELL
WU,Western Union Co,Information Technology,18.81,10.17,22.21,18.39,20.3,2.28%,Above 52 Week Low,BEST,BUY
WY,Weyerhaeuser Corp.,Real Estate,33.6,34.29,37.89,30.9504,34.4202,8.56%,Above 52 Week Low,BEST,SELL
WYN,Wyndham Worldwide,Consumer Discretionary,113.56,18.77,127.96,80.11,104.035,11.25%,Below 52 Week High ,BETTER,HOLD
WYNN,Wynn Resorts Ltd,Consumer Discretionary,169.28,31.7,203.63,92.67,148.15,16.87%,Below 52 Week High ,BETTER,SELL
XEC,Cimarex Energy,Energy,100.19,26.37,136.31,89.49,112.9,11.96%,Above 52 Week Low,BEST,SELL
XEL,Xcel Energy Inc,Utilities,42.44,18.14,52.22,41.16,46.69,3.11%,Above 52 Week Low,BEST,HOLD
XL,XL Capital,Financials,41.26,-19.93,47.27,33.77,40.52,12.71%,Below 52 Week High ,BETTER,LOOK
XLNX,Xilinx Inc,Information Technology,62.82,27.19,77.26,54.99,66.125,14.24%,Above 52 Week Low,BEST,SELL
XOM,Exxon Mobil Corp.,Energy,76.07,21.37,89.3,76.05,82.675,0.03%,Above 52 Week Low,BETTER,SELL
XRAY,Dentsply Sirona,Health Care,56.85,22.65,68.98,52.535,60.7575,8.21%,Above 52 Week Low,BEST,SELL
XRX,Xerox Corp.,Information Technology,29.8,8.87,37.42,26.64,32.03,11.86%,Above 52 Week Low,BEST,BUY
XYL,Xylem Inc.,Industrials,70.24,30.94,76.81,46.86,61.835,8.55%,Below 52 Week High ,BETTER,SELL
YUM,Yum! Brands Inc,Consumer Discretionary,76.3,27.25,86.93,62.85,74.89,12.23%,Below 52 Week High ,BETTER,SELL
ZBH,Zimmer Biomet Holdings,Health Care,115.53,14.32,133.49,108.17,120.83,6.80%,Above 52 Week Low,BEST,BUY
ZION,Zions Bancorp,Financials,50.71,17.73,55.61,38.43,47.02,8.81%,Below 52 Week High ,BETTER,HOLD
ZTS,Zoetis,Health Care,71.51,32.8,80.13,52,66.065,10.76%,Below 52 Week High ,BETTER,SELL
